dataset,channel,temp_C,cycle,weeks,type,date,file_path,pattern_chunks
main_cell,ch2,25,1100,,Pattern,2022-11-29,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\22_11_29_에기연 열화셀_25deg_1100cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1200,,Pattern,2022-12-09,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\22_12_09_에기연 열화셀_25deg_1200cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1300,,Pattern,2022-12-21,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\22_12_21_에기연 열화셀_25deg_1300cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1400,,Pattern,2023-01-05,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_01_05_에기연 열화셀_25deg_1400cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1460,,Pattern,2023-01-13,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_01_13_에기연 열화셀_25deg_1460cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1520,,Pattern,2023-01-19,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_01_19_에기연 열화셀_25deg_1520cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1580,,Pattern,2023-01-25,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_01_25_에기연 열화셀_25deg_1580cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1640,,Pattern,2023-02-02,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_02_02_에기연 열화셀_25deg_1640cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1800,,Pattern,2023-02-08,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_02_08_에기연 열화셀_25deg_1800cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,1900,,Pattern,2023-02-16,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_02_16_에기연 열화셀_25deg_1900cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,2000,,Pattern,2023-02-27,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_02_27_에기연 열화셀_25deg_2000cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,2100,,Pattern,2023-03-08,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_03_08_에기연 열화셀_25deg_2100cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,2200,,Pattern,2023-03-14,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_03_14_에기연 열화셀_25deg_2200cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,2300,,Pattern,2023-03-22,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_03_22_에기연 열화셀_25deg_2300cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,2400,,Pattern,2023-03-29,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_03_29_에기연 열화셀_25deg_2400cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,2500,,Pattern,2023-04-06,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_04_06_에기연 열화셀_25deg_2500cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,2600,,Pattern,2023-04-12,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_04_12_에기연 열화셀_25deg_2600cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,2700,,Pattern,2023-04-20,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_04_20_에기연 열화셀_25deg_2700cycle_ch2_M01Ch002(002).csv,
main_cell,ch2,25,2800,,Pattern,2023-04-27,D:\유경상\JGRC\시뮬레이션 파일\매틀랩 파일\battery\data\셀 엑셀파일\셀 엑셀파일\CH2_25deg\Pattern\23_04_27_에기연 열화셀_25deg_2800cycle_ch2_M01Ch002(002).csv,
